company,city,country,longitude,latitude,yearEST,yearClosed,category,website
Adhesive Games,Los Angeles,United States,-118.2436849,34.0522342,2011,0,Developer,www.adhesivegames.com
Adinnovation,Tokyo,Japan,139.6917064,35.6894875,2010,0,Publisher,www.adinnovation.co.jp/en/
AdventureSoft Publisher,Sutton Coldfield,England,-1.824042,52.570385,1992,0,Publisher,www.adventuresoft.com
Aeonsoft,Seoul,South Korea,126.9779692,37.566535,2002,0,Online Developer,www.aeonsoft.co.kr
Aeria Games,Berlin,Germany,13.404954,52.5200066,2006,0,Online Developer,www.aeriagames.com
Aerohills,Kiev,Ukraine,30.5234,50.4501,2001,0,Developer,www.aerohills.com
Aescapia,Lund,Sweden,13.1910073,55.7046601,2001,0,Developer,www.aescapia.com
Affinity Studios,Brighton,England,-0.137163,50.82253,2000,0,Mobile/Handheld,www.affinitystudios.co.uk
Afkar Media,Damascus,Syria,36.292,33.513,1997,0,Developer,www.afkarmedia.com
Agate Studios,Bandung,Indonesia,107.6082421,-6.9148644,2009,0,Developer,www.agatestudio.com
Agetec,Sunnyvale,United States,-122.0363496,37.36883,1998,0,Publisher,www.agetec.com
AggroStudios,Saint Petersburg,Russia,30.3350986,59.9342802,2009,0,Developer,www.aggrostudios.ru
Aidem Media,Gdansk,Poland,18.6466384,54.3520252,1997,0,Developer,www.aidemmedia.com
Aiming,Tokyo,Japan,139.6917064,35.6894875,2011,0,Developer,www.aiming-inc.com
Air Games,Vancouver,Canada,-123.1207375,49.2827291,2000,0,Mobile/Handheld,www.airg.com
Airborne Entertainment,Montreal,Canada,-73.567256,45.5016889,2001,0,Mobile/Handheld,www.airborne-e.com
Akal Interaktif,Bandung,Indonesia,107.6082421,-6.9148644,1999,0,Developer,www.akalinteraktif.com
Akaoni Studios,Valencia,Spain,-0.3762881,39.4699075,2009,0,Developer,www.akaonistudio.com
Akella,Moscow,Russia,37.6173,55.755826,1993,0,Developer,www.akella.com
Aki Corporation,Tokyo,Japan,139.6917064,35.6894875,1995,0,Developer,www.syn-sophia.co.jp
Aki United States,Irvine,United States,-117.7946942,33.6839473,1995,0,Developer,www.aki-usa.com/
Aksara Studio,Jakarta,Indonesia,106.845599,-6.2087634,2011,0,Mobile/Handheld,www.aksarastudio.com
Aksys Games,Torrance,United States,-118.3406288,33.8358492,2006,0,Publisher,www.aksysgames.com
Aktronic,Saerbeck,Germany,7.6313899,52.1747613,1978,0,Publisher,www.aktronic.de
Alawar Entertainment,Novosibirsk,Russia,82.9357327,55.0083526,1999,0,Publisher,www.alawar.com
Alawar Stargaze,Barnaul,Russia,83.7697832,53.3547792,2003,0,Developer,www.stargaze.alawar.com
Alchemic Productions,Moorpark,United States,-118.8820414,34.285558,2004,0,Developer,www.alchemicproductions.com
Alebrije Estudios,Monterrey,Mexico,-100.3161126,25.6866142,2007,0,Developer,www.alebrije-estudios.com
Alfa System,Kumamoto,Japan,130.7078911,32.8031004,1988,0,Developer,www.alfasystem.net
Aliasworlds Entertainment,Minsk,Belarus,27.566667,53.9,2002,0,Developer,www.aliasworlds.com
Alientrap,Saskatoon,Canada,-106.6700458,52.1332144,2002,0,Developer,www.alientrap.org
Alife Studios,Hong Kong,China,114.109497,22.396428,2011,0,Mobile/Handheld,www.alife-studios.com
Altar Games,Brno,Czech Republic,16.6068371,49.1950602,1997,0,Developer,www.altargames.com
Alten8,Dunstable,England,-0.52039,51.885644,2005,0,Developer,
Altermyth,Jakarta,Indonesia,106.845599,-6.2087634,2003,0,Developer,www.altermyth.com
Alternative Software,Castleford,England,-1.345968,53.723466,1985,0,Publisher,www.alternativesoftware.com
Altitude Games,Makati City,Philippines,121.0244452,14.554729,2014,0,Publisher,www.altitude-games.com
Alus Mobile,Jakarta,Indonesia,106.845599,-6.2087634,2011,0,Developer,
AMA,London,England,-0.1277583,51.5073509,2004,0,Mobile/Handheld,www.ama-studios.com
Amanita Design,Brno,Czech Republic,16.6068371,49.1950602,2003,0,Developer,
Amazon Game Studios,San Francisco,United States,-122.4194155,37.7749295,2012,0,Mobile/Handheld,games.amazon.com
Ambergames,Riga,Latvia,24.1051864,56.9496487,2006,0,Online Developer,www.ambergames.com
Ambrosia Software,Rochester,United States,-77.6109219,43.16103,1993,0,Publisher,www.ambrosiasw.com
amc studio,Bucharest,Romania,26.1025384,44.4267674,2000,0,"Developer, Publisher",www.amc.ro
AmnesiaGames,Santiago,Chile,-70.641997,-33.4691199,2006,0,Mobile/Handheld,www.amnesiagames.cl
Amplitude Studios,Paris,France,2.3522219,48.856614,2012,0,Developer,www.amplitude-studios.com
Amuzo,Bournemouth,England,-1.880769,50.719164,1998,0,Developer,www.amuzo.com
Anawiki Games,Stargard Szczecinski,Poland,15.0503771,53.3364746,2005,0,Online Developer,www.anawiki.com
Ancient Corporation,Tokyo,Japan,139.6917064,35.6894875,1990,0,Developer,www.ancient.co.jp
AnemonaStudio,Mexico City,Mexico,-99.133208,19.4326077,2010,0,Developer,www.anemonastudio.com
Anfy Mobile,San Marco,Italy,15.6380651,41.7124428,2000,0,Mobile/Handheld,www.anfymobile.com
Ani-Park,Seoul,South Korea,126.9779692,37.566535,2000,0,Online Developer,www.ani-park.com
Anino Games,Manila,Philippines,120.9842195,14.5995124,2001,0,"Developer, Publisher",www.aninogames.com/
Aniway,Helsinki,Finland,24.9410248,60.1733244,1999,0,Mobile/Handheld,www.aniway.com
Ankama Studio,Tourcoing,France,3.16207,50.724993,2001,0,Online Developer,www.ankama-studio.com
Anki,San Francisco,United States,-122.4194155,37.7749295,2007,0,Developer,www.anki.com
Anomaly Labs,Tacoma,United States,-122.4442906,47.2528768,2011,0,Online Developer,www.anomalylabs.com
Antic Entertainment,London,Canada,-81.243177,42.9869502,2008,0,Developer,www.anticentertainment.com
apelab,Geneva,Switzerland,6.1422961,46.1983922,2014,0,Developer,www.apelab.ch
Aplefly,Tallinn,Estonia,24.7535746,59.4369608,2012,0,Mobile/Handheld,www.aplefly.com
Apogee Software,Garland,United States,-96.6388833,32.912624,1987,0,Developer,www.apogeesoftware.com
Appy Entertainment,San Diego,United States,-117.1610838,32.715738,2008,0,Mobile/Handheld,www.appyentertainment.com
AppyNation,London,England,-0.1277583,51.5073509,2011,0,Mobile/Handheld,www.appynation.com
AQ Interactive,Tokyo,Japan,139.6917064,35.6894875,2005,2011,Publisher,www.aqi.co.jp
Aquiris Game Studio,Porto Alegre,Brazil,-51.2176584,-30.0346471,2007,0,Developer,www.aquiris.com.br
Aral Ithalat,Istanbul,Turkey,28.97696,41.00527,1983,0,Publisher,www.aral.com.tr
Aratog Games,Odessa,Ukraine,30.7233095,46.482526,2012,0,Developer,www.aratog.com
ARC System Works,Yokohama,Japan,139.6380256,35.4437078,1988,0,Developer,www.arcsystemworks.jp
Arcadelia,Stockholm,Sweden,18.0685808,59.3293235,2010,0,Developer,www.arcadelia.com
ArcadeMonk,Istanbul,Turkey,28.97696,41.00527,2010,0,Developer,www.arcademonk.com
Archimage,Houston,United States,-95.3698028,29.7604267,1983,0,Developer,www.archimage.com
Archon Games,Minneapolis,United States,-93.26667,44.983334,2008,0,Developer,www.archongames.com
Arctic Empire,Ottawa,Canada,-75.6971931,45.4215296,2010,0,Developer,www.arcticempire.ca
Area 52 Games,Issaquah,United States,-122.0326191,47.5301011,2013,0,Online Developer,www.area52games.com
ArenaNet (NCsoft),Bellevue,United States,-122.2006786,47.610377,2000,0,Online Developer,www.arena.net
Arika,Tokyo,Japan,139.6917064,35.6894875,1995,0,Developer,www.arika.co.jp/
Ark Game Studios,Eskisehir,Turkey,30.520556,39.776667,2011,0,Developer,www.arkgamestudios.com
Arkadium,New York City,United States,-74.0059413,40.7127837,2001,0,Online Developer,www.arkadium.com
Arkane Studios (ZeniMax Media),Lyon,France,4.835659,45.764043,1999,0,Developer,www.arkane-studios.com
Arkavi Studios,Leiria,Portugal,-8.807683,39.7495331,2013,0,Developer,www.arkavistudios.com
Arkedo Studio,Paris,France,2.3522219,48.856614,2006,0,Developer,www.arkedo.com
Armature Studio,Austin,United States,-97.7430608,30.267153,2008,0,Developer,www.armaturestudio.com
Arrowhead Studios,Stockholm,Sweden,18.0685808,59.3293235,2009,0,Developer,www.arrowheadgamestudios.com
Arsanesia,Bandung,Indonesia,107.6082421,-6.9148644,2011,0,Developer,www.arsanesia.com
Art + Science Labs,Los Angeles,United States,-118.2436849,34.0522342,2011,0,Developer,www.artscilabs.com
"Art Co., Ltd",Tokyo,Japan,139.6917064,35.6894875,1995,0,Developer,www.art95.com/
Art of Crime,Copenhagen,Denmark,12.5683371,55.6760968,2008,0,Developer,www.artofcrime.com
Artdink,Tokyo,Japan,139.6917064,35.6894875,1986,0,Developer,www.artdink.co.jp
Artefacto Estudio,Mexico City,Mexico,-99.133208,19.4326077,2003,0,Mobile/Handheld,www.artefactoestudio.com
Artematica Entertainment,Genova,Italy,8.946256,44.4056499,1998,0,Developer,www.artematica.com
ArtePiazza,Tokyo,Japan,139.6917064,35.6894875,1989,0,Developer,www.artepiazza.com/
Artex Software,Frankfurt am Main,Germany,8.6821267,50.1109221,2008,0,Developer,www.artexsoft.de
Artifex Mundi,Krakow,Poland,19.9449799,50.0646501,2006,0,Developer,www.artifexmundi.com
Artificial Studios,Gainesville,United States,-82.3248262,29.6516344,2001,0,Development,http://artificialstudios.com/index.php
Artillery,Palo Alto,United States,-122.1430195,37.4418834,2011,0,Online Developer,www.artillery.com
Artix Entertainment,Tampa,United States,-82.4571776,27.950575,2002,0,Developer,www.artix.com
Artoon,Yokohama,Japan,139.6380256,35.4437078,1999,2010,Developer,
Aruba Studios,Mulheim,Germany,6.8845226,51.4185682,2003,0,Developer,www.aruba-studios.de
Ascaron,Gutersloh,Germany,8.3857535,51.9032375,1989,2009,Publisher,
Asiasoft,Bangkok,Thailand,100.5241235,13.7278956,2010,0,Publisher,www.asiasoft.co.th
Asobo Studio,Bordeaux,France,-0.57918,44.837789,2002,0,Developer,www.asobostudio.com
Aspyr Media,Austin,United States,-97.7430608,30.267153,1989,0,"Developer, Publisher",www.aspyr.com
Asteroid Base,Toronto,Canada,-79.3831843,43.653226,2011,0,Developer,www.asteroidbase.com
Astraware,Keele,England,-2.287062,53.003561,1994,0,Developer,www.astraware.com
Astro Crow,Orlando,United States,-81.3792365,28.5383355,2010,0,Mobile/Handheld,www.astrocrow.com
Astrum Online Entertainment Group,Moscow,Russia,37.6173,55.755826,2007,0,Online Developer,www.astrumonline.ru
AT KidSystems,Silver Spring,United States,-77.026088,38.9906657,2005,0,"Developer, Publisher",www.atkidsystems.com
Atari,New York City,United States,-74.0059413,40.7127837,1972,0,"Developer, Publisher",www.atari.com
Atlanteq,Avezzano,Italy,13.4255637,42.0281396,1998,0,Developer,www.atlanteq.it
Atlantis Studios,Sao Paulo,Brazil,-46.6333094,-23.5505199,2012,0,Developer,www.atlantis-studios.com
Atlus ,Irvine,United States,-117.7946942,33.6839473,1986,0,Publisher,www.atlus.com
Atomic Games,Minneapolis,United States,-93.26667,44.983334,1989,0,Developer,www.atomicgames.com
Atomic Planet Entertainment,Middlesbrough,England,-1.234956,54.574227,2000,2009,Developer,
AtomJack,Seattle,United States,-122.3320708,47.6062095,2013,0,Developer,www.atomjack.net
Attic Entertainment Software,Albstadt,Germany,9.0234259,48.2137038,1990,2001,Publisher,
Attract Mode Games,Brisbane,Australia,153.0234489,-27.4710107,2012,0,Developer,www.attractmodegames.com
Auroch Digital,Bristol,England,-2.58791,51.454513,2010,0,Developer,www.aurochdigital.com
Autumn Games,New York City,United States,-74.0059413,40.7127837,2007,0,Publisher,www.autumngames.com
Autumn Moon Entertainment,Petaluma,United States,-122.6366524,38.232417,2002,0,Developer,www.amegames.com
Avalanche Studios,Stockholm,Sweden,18.0685808,59.3293235,2003,0,Developer,www.avalanchestudios.se
Avatar Reality,Honolulu,United States,-157.8583333,21.3069444,2006,0,Online Developer,www.avatar-reality.com
Aventurine,Athens,Greece,23.7293599,37.983917,2003,0,"Online Developer, Publisher",www.aventurine.gr
Avonstorm Entertainment,Pretoria,South Africa,28.188056,-25.746111,2002,0,Mobile/Handheld,www.avonstorm.co.za
AWE Productions,Sunrise,United States,-80.256595,26.1669711,1992,0,Developer,www.awegames.com
Awem Studio,Mahilyow,Belarus,30.333333,53.9,2002,0,Developer,www.awem.com
Babaroga Games,Chicago,United States,-87.6297982,41.8781136,2001,0,Mobile/Handheld,www.babaroga.com
Backbone ,Emeryville,United States,-122.2852473,37.831316,1992,0,Developer,www.backboneentertainment.com
Backflip Studios,Boulder,United States,-105.2705456,40.0149856,2009,0,"Developer, Publisher",www.backflipstudios.com
Bad Juju Games,Aliso Viejo,United States,-117.725556,33.575,2010,0,Developer,www.badjujugames.com
Bad Robot,Malmo,Sweden,13.003822,55.604981,1998,0,Developer,www.badrobot.se
Baguet Games,Mexico City,Mexico,-99.133208,19.4326077,2012,0,Developer,www.baguetgames.com
baKno,Key Biscayne,United States,-80.1628248,25.693713,2006,0,Developer,www.bakno.com
Balloon 27,Marina Del Ray,United States,-118.4517449,33.9802893,2013,0,Mobile/Handheld,www.balloon27.com
Bamtang Games,Lima,Peru,-77.0427934,-12.046374,2002,0,Developer,www.bamtang.com
Bandai Namco Games,Tokyo,Japan,139.6917064,35.6894875,2006,0,"Developer, Publisher",www.bandainamcogames.com/
Bane Games,Brisbane,Australia,153.0234489,-27.4710107,2010,0,Developer,www.banegames.com
Banpresto,Tokyo,Japan,139.6917064,35.6894875,1977,0,Developer,www.banpresto.co.jp
Barking Lizards Technologies,Richardson,United States,-96.7298519,32.9483335,2001,0,Developer,www.barkinglizards.com
Barunson Games,Seoul,South Korea,126.9779692,37.566535,2003,0,Online Developer,www.barunsongames.com
Basilisk Games,Indianapolis,United States,-86.158068,39.768403,2005,0,Developer,www.basiliskgames.com
Batovi Games Studio,Montevideo,Uruguay,-56.1645314,-34.9011127,2005,0,Developer,www.batovi.com
Battlecry Studios (ZeniMax Media),Austin,United States,-97.7430608,30.267153,2012,0,Online Developer,http://www.battlecrystudios.com/home.php
Battlefront,Dover,United States,-75.5243682,39.158168,1990,0,Developer,www.battlefront.com
BattleGoat Studios,Hamilton,Canada,-79.8660914,43.2500208,2000,0,Developer,www.battlegoat.com
Battlesheep,Lisbon,Portugal,-9.1393366,38.7222524,2008,0,Mobile/Handheld,www.battlesheep.com
Bauhaus Entertainment,Tokyo,Japan,139.6917064,35.6894875,2006,0,Developer,www.dsp.co.jp/bhe/
Baygull Studios,Austin,United States,-97.7430608,30.267153,2010,0,Developer,www.baygullstudios.com
Beachhead (Activision),Santa Monica,United States,-118.4911912,34.0194543,2011,0,Online Developer,www.beachheadstudio.com/
Beartrap Games,Dundee,Scotland,-2.970721,56.462018,2012,0,Developer,www.beartrapgames.com
Beast Studios,Timisoara,Romania,21.23,45.759722,2007,0,Developer,www.beast-studios.com
Beatnik Games,London,England,-0.1277583,51.5073509,2008,0,Developer,www.beatnikgames.co.uk
Beatshapers,Kiev,Ukraine,30.5234,50.4501,2006,0,Developer,www.beatshapers.com
Beautiful Game Studios,London,England,-0.1277583,51.5073509,1992,0,Developer,www.bgstudios.co.uk
Beautifun Games,Sabadell,Spain,2.1086131,41.5462745,2011,0,Developer,www.beautifungames.com
Bedtime Digital,Copenhagen,Denmark,12.5683371,55.6760968,2013,0,Developer,www.bedtimedigitalgames.dk
Bee Cave Games,Austin,United States,-97.7430608,30.267153,2012,0,Developer,www.beecavegames.com
Bee Square Games,Barcelona,Spain,2.1734035,41.3850639,2012,0,Mobile/Handheld,www.beesquare.net
Beenox Studios (Activision),Quebec City,Canada,-71.242796,46.8032826,2000,0,Developer,www.beenox.com
Beep Industries,Bothell,United States,-122.2054035,47.7623204,2000,0,Developer,www.beepindustries.com
Behavior Interactive,Montreal,Canada,-73.567256,45.5016889,1992,0,Developer,www.bhvr.com
Behold Studios,Brasilia,Brazil,-47.8821658,-15.7942287,2009,0,Developer,www.beholdstudios.com.br
Benxing Entertainment,Finksburg,United States,-76.8894232,39.4928811,2007,0,Developer,www.benxing.com
Bethesda Softworks (ZeniMax Media),Rockville,United States,-77.1527578,39.0839973,1985,0,"Developer, Publisher",www.bethsoft.com
Bica Studios,Lisbon,Portugal,-9.1393366,38.7222524,2013,0,Mobile/Handheld,www.bicastudios.com
Big Ant Studios,Melbourne,Australia,144.96328,-37.814107,2001,0,Developer,www.bigant.com
Big Blue Bubble,London,Canada,-81.243177,42.9869502,2004,0,Developer,www.bigbluebubble.com
Big Daddy's Creations,Warsaw,Poland,21.0122287,52.2296756,2010,0,Mobile/Handheld,www.bigdaddyscreations.com
Big Finish Games,Salt Lake City,United States,-111.8910474,40.7607793,2007,0,Developer,www.bigfinishgames.com
Big Fish Games,Seattle,United States,-122.3320708,47.6062095,2007,0,"Developer, Publisher",www.bigfishgames.com
Big Robot,Bath,England,-2.3599039,51.375801,2010,0,Developer,www.big-robot.com
Big Sandwich Games (Z2Live),Vancouver,Canada,-123.1207375,49.2827291,2012,0,Developer,www.bigsandwichgames.com
Big Top Ballet,Whistler,Canada,-122.9573563,50.1163196,2012,0,Developer,www.bigtopballet.com
Big Viking Games,London,Canada,-81.243177,42.9869502,2011,0,Developer,
Bigben Interactive,Bergheim,Germany,6.6555022,50.9451945,1981,0,Publisher,www.bigben-interactive.de
BigPark (Microsoft Game Studios),Vancouver,Canada,-123.1207375,49.2827291,2007,0,Developer,www.bigpark.com
Bigpoint,Hamburg,Germany,9.9936818,53.5510846,2002,0,Online Developer,www.bigpoint.net
Binary Hammer,Avon,USA,-86.3997167,39.7628227,2008,0,Developer,www.binaryhammer.com/
Biodroid,Lisbon,Portugal,-9.1393366,38.7222524,2007,0,"Developer, Publisher",www.biodroid-entertainment.com
BioWare ,Edmonton,Canada,-113.4909267,53.544389,1995,0,"Developer, Online Developer",www.bioware.com
Bit Barons,Munich,Germany,11.5819806,48.1351253,2010,0,Developer,www.bitbarons.com
Bit Managers,Barcelona,Spain,2.1734035,41.3850639,1988,0,Developer,www.bitmanagers.com
bitforge,Berne,Switzerland,7.4446085,46.9479222,2004,0,Mobile/Handheld,www.bitforge.ch
BitMonster,Cary,United States,-78.7811169,35.79154,2012,0,Mobile/Handheld,www.bitmonstergames.com
BitRabbit,Dublin,Ireland,-6.2603097,53.3498053,2004,0,Mobile/Handheld,www.bitrabbit.net
Bits Studios,London,England,-0.1277583,51.5073509,1991,2008,Developer,
Bizarre Creations,Liverpool,England,-2.9915726,53.4083714,1994,2011,Developer,
Black Bean,Gazzada,Italy,8.824131,45.7802269,2005,0,Publisher,www.blackbeangames.com
Black Company Studios,Edinburgh,Scotland,-3.188267,55.953252,2005,0,Developer,www.blackcompanystudios.co.uk
Black Element Software,Prague,Czech Republic,14.4378005,50.0755381,2000,0,Developer,www.blackelement.net
Black Forest Games,Offenburg,Germany,7.9498017,48.473451,2012,0,Developer,www.black-forest-games.com
Black Hole Entertainment,Budapest,Hungary,19.040235,47.497912,2001,0,Developer,www.blackholegames.com
Black Jacket Games,Portland,United States,-122.6764816,45.5230622,2007,0,Developer,www.blackjacketgames.com
Black Lantern Studios,Springfield,United States,-72.589811,42.1014831,2003,0,Developer,www.blacklanternstudios.com
Black Ops Entertainment,Santa Monica,United States,-118.4911912,34.0194543,1994,0,Developer,www.codemasters.com
Black Rock Studio,Brighton,England,-0.137163,50.82253,1998,2011,Developer,
Black Tusk (Microsoft Studios),Vancouver,Canada,-123.1207375,49.2827291,2012,0,Mobile/Handheld,www.mgsvancouver.com
Black Wing Foundation,Dnepropetrovsk,Ukraine,35.046183,48.464717,2006,0,Developer,www.bwf-game.com
Blammo Games (Glu Mobile),Toronto,Canada,-79.3831843,43.653226,2011,0,Mobile/Handheld,www.blammogames.com
Blendo Games,Los Angeles,United States,-118.2436849,34.0522342,1999,0,Developer,www.blendogames.com
Blind Squirrel Games,Costa Mesa,United States,-117.9186689,33.6411316,2010,0,Developer,www.blindsquirrelgames.com
Blind Wink Games (Universal Pictures),Universal City,United States,-98.2911235,29.5480071,2008,0,Developer,www.blindwink.com
Blindflug Studios,Zurich,Switzerland,8.5391825,47.3686498,2014,0,Developer,www.blindflugstudios.com
Blitz Games Studios,Leamington Spa,England,-1.5200789,52.2851905,1990,2013,Developer,
Blizzard Entertainment,Irvine,United States,-117.7946942,33.6839473,1991,0,"Developer, Publisher",www.blizzard.com
blockdot,Dallas,United States,-96.8009781,32.7802618,2001,0,Developer,www.blockdot.com
Bloober Team,Krakow,Poland,19.9449799,50.0646501,2008,0,Developer,www.blooberteam.com
Blue Beck,Macclesfield,England,-2.119287,53.258663,2009,0,Mobile/Handheld,www.bluebeck.co.uk
Blue Byte (Ubisoft),Dusseldorf,Germany,6.7734556,51.2277411,1988,0,"Developer, Publisher",www.ubisoftgroup.com
Blue Fang Games,Waltham,USA,-71.2356113,42.3764852,1998,2011,Developer,
Blue Goji,Austin,United States,-97.7430608,30.267153,2011,0,Mobile/Handheld,www.bluegoji.com
Blue Mammoth Games,Atlanta,United States,-84.3879824,33.7489954,2009,0,Online Developer,www.bluemammoth.com
Blue Marble Game Company,Los Angeles,United States,-118.2436849,34.0522342,2010,0,Developer,www.bluemarblegameco.com
Blue Planet Software,Honolulu,United States,-157.8583333,21.3069444,1996,0,Developer,www.blueplanetsoftware.com
Blue Shift Games,Mountain View,United States,-122.0838511,37.3860517,1995,0,Developer,www.blueshiftgames.com
Blue Torch Soft,Shenzhen,China,114.057868,22.543099,2004,0,Developer,www.bluetorchsoft.com
BlueGiant Interactive,Hyderabad,India,78.486671,17.385044,2007,0,Developer,www.bluegiantinteractive.com
Bluepoint Games,Austin,United States,-97.7430608,30.267153,2006,0,Developer,www.bluepointgames.com
BLUESIDE,Seoul,South Korea,126.9779692,37.566535,2003,0,Online Developer,www.blueside.co.kr/eng/
Bohemia Interactive,Prague,Czech Republic,14.4378005,50.0755381,1999,0,Developer,www.bistudio.com
Bonfire Studios,Dallas,United States,-96.8009781,32.7802618,2009,2013,Developer,
Bongfish,Graz,Austria,15.439504,47.070714,1999,0,Publisher,www.bongfish.com
BonusXP,Allen,United States,-96.6705503,33.1031744,2012,0,Mobile/Handheld,www.bonusxp.com
